"FIPS","State","County","SNAP All Persons Public Assistance Participation","SNAP All Persons Non-Public Assistance Participation","Calc: SNAP Total PA and Non-PA People","SNAP All Households Public Assistance Participation","SNAP All Households Non-Public Assistance Participation","Calc: SNAP Total PA and Non-PA Households","SNAP All Total Actual PA & Non-PA Issuance","Date"
"1500101","HI","HAWAII",12006,5539,17545,4605,2345,6950,1405653,1989-01-01
"1500306","HI","HONOLULU",38479,15834,54313,15392,5935,21327,4198713,1989-01-01
"1500701","HI","KAUAI",1818,1399,3217,755,637,1392,248538,1989-01-01
"1500901","HI","MAUI",3487,2101,5588,1360,906,2266,439188,1989-01-01
"1500101","HI","HAWAII",12494,4616,17110,4757,2068,6825,1491922,1990-01-01
"1500306","HI","HONOLULU",40846,13108,53954,16669,5213,21882,4544385,1990-01-01
"1500701","HI","KAUAI",2032,1227,3259,854,612,1466,279905,1990-01-01
"1500901","HI","MAUI",3809,1798,5607,1458,833,2291,477605,1990-01-01
"1500101","HI","HAWAII",12582,4509,17091,4914,2085,6999,1757361,1991-01-01
"1500306","HI","HONOLULU",43421,12912,56333,17362,5295,22657,5561967,1991-01-01
"1500701","HI","KAUAI",2071,1312,3383,875,629,1504,344902,1991-01-01
"1500901","HI","MAUI",3682,1650,5332,1448,774,2222,547738,1991-01-01
"1500101","HI","HAWAII",14204,5165,19369,5551,2478,8029,2087069,1992-01-01
"1500306","HI","HONOLULU",45879,14025,59904,19095,5891,24986,6295328,1992-01-01
"1500701","HI","KAUAI",2582,1442,4024,1072,705,1777,427460,1992-01-01
"1500901","HI","MAUI",4351,1809,6160,1690,909,2599,668203,1992-01-01
"1500101","HI","HAWAII",15741,6112,21853,5229,2892,8121,2366444,1993-01-01
"1500306","HI","HONOLULU",50836,14620,65456,21569,6330,27899,6898696,1993-01-01
"1500701","HI","KAUAI",2803,1710,4513,1161,822,1983,474133,1993-01-01
"1500901","HI","MAUI",5225,2364,7589,2005,1148,3153,820494,1993-01-01
"1500101","HI","HAWAII",18091,6775,24866,7250,3316,10566,2792925,1994-01-01
"1500306","HI","HONOLULU",57469,15730,73199,24613,7280,31893,8068449,1994-01-01
"1500701","HI","KAUAI",3242,1941,5183,1323,925,2248,558585,1994-01-01
"1500901","HI","MAUI",6065,2723,8788,2403,1343,3746,993040,1994-01-01
"1500101","HI","HAWAII",19783,7096,26879,7921,3721,11642,3184010,1995-01-01
"1500306","HI","HONOLULU",62181,17779,79960,26984,8674,35658,9417556,1995-01-01
"1500701","HI","KAUAI",3823,2172,5995,1545,1115,2660,699846,1995-01-01
"1500901","HI","MAUI",6858,2864,9722,2714,1527,4241,1158216,1995-01-01
"1500101","HI","HAWAII",18923,9424,28347,6832,5553,12385,3582803,1996-01-01
"1500306","HI","HONOLULU",61968,23059,85027,25735,12945,38680,10495047,1996-01-01
"1500701","HI","KAUAI",4013,2866,6879,1529,1483,3012,847790,1996-01-01
"1500901","HI","MAUI",6881,3549,10430,2592,2036,4628,1315535,1996-01-01
