"Date","Geography","Received","Approved"
"2020-04-26","Oahu",18,
"2020-04-26","Kauai",5,
"2020-04-26","East Hawaii",6,
"2020-04-26","West Hawaii",7,
"2020-04-26","Maui County",23,
"2020-04-26","Statewide",59,
"2020-04-27","Oahu",425,270
"2020-04-27","Kauai",71,52
"2020-04-27","East Hawaii",70,60
"2020-04-27","West Hawaii",97,49
"2020-04-27","Maui County",131,58
"2020-04-27","Statewide",794,489
"2020-04-28","Oahu",288,292
"2020-04-28","Kauai",36,31
"2020-04-28","East Hawaii",44,35
"2020-04-28","West Hawaii",66,110
"2020-04-28","Maui County",81,61
"2020-04-28","Statewide",515,529
"2020-04-29","Oahu",297,256
"2020-04-29","Kauai",42,42
"2020-04-29","East Hawaii",41,48
"2020-04-29","West Hawaii",64,38
"2020-04-29","Maui County",75,104
"2020-04-29","Statewide",519,488
"2020-04-30","Oahu",286,254
"2020-04-30","Kauai",38,61
"2020-04-30","East Hawaii",57,32
"2020-04-30","West Hawaii",41,50
"2020-04-30","Maui County",78,84
"2020-04-30","Statewide",500,481
"2020-05-01","Oahu",258,220
"2020-05-01","Kauai",26,40
"2020-05-01","East Hawaii",59,59
"2020-05-01","West Hawaii",37,34
"2020-05-01","Maui County",60,71
"2020-05-01","Statewide",440,424
"2020-05-02","Oahu",4,
"2020-05-02","Kauai",2,
"2020-05-02","East Hawaii",2,
"2020-05-02","West Hawaii",0,
"2020-05-02","Maui County",0,
"2020-05-02","Statewide",8,
"2020-05-03","Oahu",30,
"2020-05-03","Kauai",3,
"2020-05-03","East Hawaii",5,
"2020-05-03","West Hawaii",12,
"2020-05-03","Maui County",7,
"2020-05-03","Statewide",57,
"2020-05-04","Oahu",360,227
"2020-05-04","Kauai",53,34
"2020-05-04","East Hawaii",60,36
"2020-05-04","West Hawaii",65,46
"2020-05-04","Maui County",148,91
"2020-05-04","Statewide",686,434
"2020-05-05","Oahu",198,229
"2020-05-05","Kauai",37,34
"2020-05-05","East Hawaii",35,54
"2020-05-05","West Hawaii",34,54
"2020-05-05","Maui County",62,103
"2020-05-05","Statewide",366,474
"2020-05-06","Oahu",210,255
"2020-05-06","Kauai",30,26
"2020-05-06","East Hawaii",37,27
"2020-05-06","West Hawaii",42,65
"2020-05-06","Maui County",70,56
"2020-05-06","Statewide",389,429
"2020-05-07","Oahu",199,196
"2020-05-07","Kauai",30,21
"2020-05-07","East Hawaii",33,40
"2020-05-07","West Hawaii",36,41
"2020-05-07","Maui County",50,65
"2020-05-07","Statewide",348,363
"2020-05-08","Oahu",164,162
"2020-05-08","Kauai",29,20
"2020-05-08","East Hawaii",39,32
"2020-05-08","West Hawaii",39,37
"2020-05-08","Maui County",27,32
"2020-05-08","Statewide",298,283
"2020-05-10","Oahu",12,
"2020-05-10","Kauai",2,
"2020-05-10","East Hawaii",1,
"2020-05-10","West Hawaii",2,
"2020-05-10","Maui County",4,
"2020-05-10","Statewide",21,
"2020-05-11","Oahu",252,176
"2020-05-11","Kauai",44,27
"2020-05-11","East Hawaii",31,32
"2020-05-11","West Hawaii",40,44
"2020-05-11","Maui County",73,58
"2020-05-11","Statewide",440,337
"2020-05-12","Oahu",176,183
"2020-05-12","Kauai",19,22
"2020-05-12","East Hawaii",33,32
"2020-05-12","West Hawaii",37,30
"2020-05-12","Maui County",41,49
"2020-05-12","Statewide",306,316
