Date,Household,Persons,Per Household,Per Person,Cost
1988-10-01,30652,78125,209.54,82.21,6422774
1988-11-01,31781,78178,200.64,81.57,6376678
1988-12-01,30996,78845,206.88,81.33,6412518
1989-01-01,31935,80663,195.86,77.54,6254638
1989-02-01,31514,79099,193.8,77.21,6107390
1989-03-01,30507,77324,205.06,80.9,6255633
1989-04-01,30417,76822,203.88,80.73,6201484
1989-05-01,30295,76055,202.48,80.65,6134210
1989-06-01,30657,76644,202.34,80.93,6203150
1989-07-01,31926,79510,186.06,74.71,5940147
1989-08-01,31934,79135,184.3,74.37,5885446
1989-09-01,30740,76938,193.9,77.47,5960495
1989-10-01,30879,76874,223.63,89.83,6905395
1989-11-01,30888,76646,221.94,89.44,6855343
1989-12-01,31019,77290,222.92,89.46,6914651
1990-01-01,32464,79930,209.27,85.0,6793818
1990-02-01,30743,75883,218.72,88.61,6724067
1990-03-01,31164,77080,220.66,89.21,6876608
1990-04-01,31185,76863,218.6,88.69,6817089
1990-05-01,30974,75891,217.69,88.85,6742815
1990-06-01,30910,76111,218.68,88.81,6759408
1990-07-01,32392,78894,203.72,83.64,6598932
1990-08-01,30883,75803,213.69,87.06,6599284
1990-09-01,31363,76216,212.05,87.26,6650560
1990-10-01,32934,79913,245.96,101.37,8100495
1990-11-01,33153,80565,247.6,101.89,8208705
1990-12-01,33229,81003,246.82,101.25,8201461
1991-01-01,33382,82139,246.0,99.98,8211973
1991-02-01,34157,82711,242.08,99.97,8268679
1991-03-01,34193,82666,245.03,101.35,8378452
1991-04-01,34963,83395,243.72,102.18,8521024
1991-05-01,35146,85222,242.3,99.93,8515824
1991-06-01,34880,84577,244.74,100.93,8536651
1991-07-01,35464,85113,235.98,98.33,8368850
1991-08-01,36867,85127,230.99,100.04,8515790
1991-09-01,35866,84333,236.9,100.75,8496729
1991-10-01,35501,85804,263.85,109.17,9367029
1991-11-01,36450,88427,260.58,107.41,9498154
1991-12-01,36575,88730,262.0,108.0,9582834
1992-01-01,37391,89457,253.51,105.96,9478814
1992-02-01,37909,90741,253.75,106.01,9619317
1992-03-01,38314,90859,253.76,107.01,9722747
1992-04-01,38828,92170,254.0,107.0,9862191
1992-05-01,39169,92982,254.04,107.02,9950690
1992-06-01,39195,93219,254.5,107.01,9975079
1992-07-01,39638,94390,250.48,105.18,9928368
1992-08-01,39952,95484,250.84,104.96,10021715
1992-09-01,51665,128912,264.44,105.98,13662488
1992-10-01,42898,102504,267.06,111.76,11456182
1992-11-01,42121,100137,251.99,106.0,10614053
1992-12-01,42050,99968,252.01,106.0,10596980
1993-01-01,42156,99413,250.48,106.21,10559135
1993-02-01,42119,99326,250.47,106.21,10549444
1993-03-01,43585,102416,250.06,106.42,10898766
1993-04-01,43946,103153,250.02,106.52,10987552
1993-05-01,44247,103490,249.49,106.67,11039108
1993-06-01,44572,104210,249.46,106.7,11119024
1993-07-01,45202,105810,248.36,106.1,11226310
1993-08-01,45873,107207,248.0,106.12,11376405
1993-09-01,46329,107797,246.58,105.98,11423881
1993-10-01,47375,110406,258.66,110.99,12254037
1993-11-01,47699,110737,258.21,111.22,12316402
1993-12-01,48254,111712,257.46,111.21,12423355
1994-01-01,48453,112036,256.8,111.06,12442601
1994-02-01,48499,111310,255.09,111.15,12371641
1994-03-01,50101,115461,256.96,111.5,12874027
1994-04-01,50129,115508,255.1,110.71,12787869
1994-05-01,50572,116125,255.73,111.37,12932717
1994-06-01,50170,115087,260.06,113.37,13047249
1994-07-01,51279,117924,257.85,112.12,13222225
1994-08-01,52044,119382,256.56,111.85,13352420
1994-09-01,52180,119218,251.98,110.29,13148101
1994-10-01,53224,121534,269.78,118.15,14358847
1994-11-01,52623,119808,269.94,118.57,14205304
1994-12-01,54179,123275,270.06,118.69,14631310
1995-01-01,54201,122556,266.79,117.99,14460235
1995-02-01,54079,121776,266.22,118.23,14397000
1995-03-01,55741,125514,266.83,118.5,14873262
1995-04-01,55699,125412,268.74,119.36,14968612
1995-05-01,56956,127671,259.64,115.83,14788190
1995-06-01,56820,127601,262.99,117.11,14943081
1995-07-01,56020,125701,266.6,118.81,14935108
1995-08-01,56410,126044,265.72,118.92,14989396
