"Record.ID","Store.Name","Store.Type","Street.Number","Street.Name","Additional.Address","City","State","Zip.Code","Zip4","County","Latitude","Longitude","Authorization.Date","End.Date"
567817,"5-SPICE  ","Meat/Poultry Specialty","2100","KANOELEHUA AVENUE"," ","HILO","HI",96720," ","HAWAII",19.69021,-155.066,"04/29/1986","01/31/2008"
840949,"5-Spice  ","Small Grocery Store","2100","Kanoelehua Ave"," ","Hilo","HI",96720,"6500","HAWAII",19.69021,-155.066,"02/11/2008","12/27/2013"
840949,"5-Spice  ","Small Grocery Store","2100","Kanoelehua Ave"," ","Hilo","HI",96720,"6500","HAWAII",19.69021,-155.066,"12/30/2013","03/30/2021"
226486,"7 ELEVEN STORE #27321  ","Convenience Store"," ","PO Box 2619"," ","Kamuela","HI",96743,"2619","HAWAII",0,0,"01/14/1987","01/02/1990"
647035,"7-ELEVEN 54209","Convenience Store","15-2875","GOVERNMENT ROAD"," ","PAHOA","HI",96778," ","HAWAII",19.55761,-154.8851,"12/22/1989"," "
370914,"7-ELEVEN 54222","Convenience Store","895","Kinoole St"," ","Hilo","HI",96720,"3830","HAWAII",19.71544,-155.0828,"12/22/1989"," "
394669,"7-ELEVEN 54138","Convenience Store","1321","Kilauea Ave"," ","Hilo","HI",96720,"4207","HAWAII",19.70943,-155.076,"12/22/1989"," "
242227,"7-ELEVEN 54136","Convenience Store","83","Kaumana Dr"," ","Hilo","HI",96720,"2052","HAWAII",19.71519,-155.1044,"12/22/1989"," "
661231,"7-ELEVEN  54221","Convenience Store","61-3665","AKONI PULE/KAWAIHAE RD"," ","KAWAIHAE","HI",96743," ","HAWAII",0,0,"12/22/1989","02/25/2002"
520648,"7-ELEVEN  54202","Convenience Store","75-5745","KUAKINI HWY"," ","KAILUA-KONA","HI",96740," ","HAWAII",0,0,"12/22/1989","08/04/2002"
449197,"7-ELEVEN #54226  ","Convenience Store"," ","MAMALAHOA/KAWAIHAE"," ","KAMUELA","HI",96743," ","HAWAII",0,0,"12/22/1989","10/15/1992"
602720,"7-ELEVEN #54230  ","Convenience Store","77-6435","KUAKINI HWY."," ","KAILUA-KONA","HI",96740," ","HAWAII",0,0,"12/22/1989","10/22/1992"
606207,"7-ELEVEN STORE 54258","Convenience Store","74","W Kawili St"," ","Hilo","HI",96720,"5037","HAWAII",19.70239,-155.0749,"09/01/2000","09/06/2000"
606207,"7-ELEVEN STORE 54258","Convenience Store","74","W Kawili St"," ","Hilo","HI",96720,"5037","HAWAII",19.70239,-155.0749,"10/23/2000"," "
838911,"7-Eleven Store 54277","Convenience Store","17-351","Volcano Rd"," ","Kurtistown","HI",96760,"9997","HAWAII",19.59307,-155.0579,"12/18/2007"," "
1020796,"7-Eleven Store 54284","Convenience Store","16-499","Old Volcano Rd"," ","Keaau","HI",96749,"8138","HAWAII",19.62376,-155.0385,"08/26/2011"," "
628457,"A ARAKAKI STORE  ","Small Grocery Store","53-4142","AKONI PULE HWY"," ","KAPAAU","HI",96755,"0070","HAWAII",20.22714,-155.78,"12/13/1971"," "
1216989,"ABC Store 71","Convenience Store","75-5660","Palani Rd"," ","Kailua Kona","HI",96740,"3612","HAWAII",19.64136,-155.9966,"10/27/2015"," "
1362858,"ABC Store 63","Convenience Store","75-5703","C Alii Drive"," ","Kona","HI",96740," ","HAWAII",19.63983,-155.9945,"05/07/2019"," "
1404284,"ABC Store 75","Convenience Store","75-5817","Alii Drive","Suite F15","Kailua-Kona","HI",96740," ","HAWAII",19.63403,-155.9897,"04/27/2020"," "
649509,"Abundant Life Natural Foods  ","Large Grocery Store","292","Kamehameha Ave"," ","Hilo","HI",96720,"2837","HAWAII",19.72408,-155.0853,"01/19/1978"," "
583517,"ACASIO VARIETY STORE  ","Meat/Poultry Specialty","306","Kilauea Ave"," ","Hilo","HI",96720,"3008","HAWAII",0,0,"08/17/1993","06/08/1998"
