Date,ApplicationsReceived,TotalDispositions,TimelyDispositions,PercentTimely
2008-10-01,4947,5031,4340,0.863
2008-11-01,4012,4201,3587,0.854
2008-12-01,4211,4598,3980,0.866
2009-01-01,4572,4069,3443,0.846
2009-02-01,3970,4319,3665,0.849
2009-03-01,5042,4793,4126,0.861
2009-04-01,4859,5184,4441,0.857
2009-05-01,4473,4677,4029,0.861
2009-06-01,5069,5070,4353,0.859
2009-07-01,5338,5413,4707,0.87
2009-08-01,5395,5242,4490,0.857
2009-09-01,5403,5677,4826,0.85
2009-10-01,4925,5045,4224,0.837
2009-11-01,4839,4917,3940,0.801
2009-12-01,4591,5181,4172,0.805
2010-01-01,4672,4448,3569,0.802
2010-02-01,4408,4519,3593,0.795
2010-03-01,5070,5158,4021,0.78
2010-04-01,4762,4866,3843,0.79
2010-05-01,4695,4905,3789,0.772
2010-06-01,5308,5232,4137,0.791
2010-07-01,5399,5351,4271,0.798
2010-08-01,5335,5511,4194,0.761
2010-09-01,5726,5745,4208,0.732
2010-10-01,7293,6744,5307,0.787
2010-11-01,5800,6637,4636,0.699
2010-12-01,4700,6492,4192,0.646
2011-01-01,5123,5596,3859,0.69
2011-02-01,4390,5160,3891,0.754
2011-03-01,5103,5438,4208,0.774
2011-04-01,4721,4783,3723,0.778
2011-05-01,5255,5318,4104,0.772
2011-06-01,5570,5642,4448,0.788
2011-07-01,5319,5615,4485,0.799
2011-08-01,5760,6151,4788,0.778
2011-09-01,5503,6045,4325,0.715
2011-10-01,5067,6132,4333,0.707
2011-11-01,4927,5964,4404,0.738
2011-12-01,4959,5938,4542,0.765
2012-01-01,5522,5713,4621,0.809
2012-02-01,4792,5676,4843,0.853
2012-03-01,5293,5575,4912,0.881
2012-04-01,5365,5364,4776,0.89
2012-05-01,5752,5764,5138,0.891
2012-06-01,5437,5825,5250,0.901
2012-07-01,5897,6153,5502,0.894
2012-08-01,6336,6715,6189,0.922
2012-09-01,5604,5680,5269,0.928
2012-10-01,6505,6758,6390,0.946
2012-11-01,5552,5672,5344,0.942
2012-12-01,4925,5276,5038,0.955
2013-01-01,6620,6394,6154,0.962
2013-02-01,5409,5567,5362,0.963
2013-03-01,5117,5295,5087,0.961
2013-04-01,5981,6024,5777,0.959
2013-05-01,5991,5964,5794,0.971
2013-06-01,5733,5396,5213,0.966
2013-07-01,6646,6706,6337,0.945
2013-08-01,6578,6494,6145,0.946
2013-09-01,6045,5540,5224,0.943
2013-10-01,6700,7752,7254,0.936
2013-11-01,5612,5791,5625,0.971
2013-12-01,5324,5532,5407,0.977
2014-01-01,6602,6128,5957,0.972
2014-02-01,5347,5501,5341,0.971
2014-03-01,5608,5765,5596,0.971
2014-04-01,6065,5971,5817,0.974
2014-05-01,6511,6534,6344,0.971
2014-06-01,6469,6212,6054,0.975
2014-07-01,6654,6827,6625,0.97
2014-08-01,6104,5834,5688,0.975
2014-09-01,6677,6826,6644,0.973
2014-10-01,6646,6838,6677,0.976
2014-11-01,5327,5310,5190,0.977
2014-12-01,5861,5968,5826,0.976
2015-01-01,6211,5859,5697,0.972
2015-02-01,5363,5431,5296,0.975
2015-03-01,6233,5992,5818,0.971
2015-04-01,6085,6182,6003,0.971
2015-05-01,5819,5888,5736,0.974
2015-06-01,6401,6177,6041,0.978
2015-07-01,6343,6303,6152,0.976
2015-08-01,6087,5899,5688,0.964
2015-09-01,6336,6174,5969,0.967
2015-10-01,6183,6240,5965,0.956
2015-11-01,5416,5433,5211,0.959
2015-12-01,5604,6073,5703,0.939
2016-01-01,5824,5418,5202,0.96
2016-02-01,5552,5667,5494,0.969
2016-03-01,5590,5782,5597,0.968
2016-04-01,5568,5414,5298,0.979
2016-05-01,5656,5594,5473,0.978
2016-06-01,6020,6037,5892,0.976
2016-07-01,5476,5352,5246,0.98
2016-08-01,6434,6151,5993,0.974
2016-09-01,6098,6209,6002,0.967
2016-10-01,5610,5890,5703,0.968
2016-11-01,5306,5202,5051,0.971
2016-12-01,5188,5402,5269,0.975
2017-01-01,5713,5350,5235,0.979
2017-02-01,4936,5004,4897,0.979
2017-03-01,5414,5552,5440,0.98
2017-04-01,4911,4792,4700,0.981
2017-05-01,5547,5459,5365,0.983
2017-06-01,5737,5624,5513,0.98
2017-07-01,5429,5405,5307,0.982
2017-08-01,6134,6003,5895,0.982
2017-09-01,5545,5592,5437,0.972
2017-10-01,5785,5672,5547,0.978
2017-11-01,5355,5527,5367,0.971
2017-12-01,4882,4894,4767,0.974
2018-01-01,5830,5556,5351,0.963
2018-02-01,4883,4998,4819,0.964
2018-03-01,5090,5122,4969,0.97
2018-04-01,5332,5366,5206,0.97
2018-05-01,5381,5423,5327,0.982
2018-06-01,5587,5390,5289,0.981
2018-10-01,6082,6056,5887,0.972
2018-11-01,5021,5098,4929,0.967
2018-12-01,4442,4669,4506,0.965
2019-01-01,5404,5384,5201,0.966
