name,network,category,address,lat,lon,geocode_source
Aiea 7th Day Adventist Church,Hawaii Foodbank,pantry,"99-005 Moanalua Rd. Aiea, HI 96701",21.38104436023,-157.933625266458,provider
Aloha Church,Hawaii Foodbank,pantry,"4534 Uahi Street (Across from Taco Bell), Lihue, Kauaʻi, HI",21.9746445,-159.3777979,provider
Anahola Beach Park,Hawaii Foodbank,pantry,Anahola Beach Park (across entrance),22.1457356,-159.300134,provider
Anahola Clubhouse,Hawaii Foodbank,mobile,"Anahola Clubhouse Kawelo St, Anahola, HI 96703 808-265-0684 Anahola Third Tuesday of the month 4:00 - 6:00 p.m.",22.146,-159.311,manual
Anaina Hou,Hawaii Foodbank,pantry,"5-2723 Kuhio Hwy., Kīlauea, HI 96754",22.2109763,-159.4160471,provider
Angel Network Charities,Hawaii Foodbank,pantry,"5339 Kalanianaole Hwy. Honolulu, HI 96821",21.278595606051,-157.749178615616,provider
Angel Network Charities (Walk Up),Hawaii Foodbank,produce,"5339 Kalanianaole Hwy. Honolulu, HI 96821",21.278595606051,-157.749178615616,provider
Armed Services YMCA (Joint Base Pearl Harbor Hickam) Military access required.,Hawaii Foodbank,pantry,"100 McChord St. Joint Base Pearl Harbor-Hickam, 96853",21.3541,-157.9395,manual
Armed Services YMCA (Joint Base Pearl Harbor-Hickam) Military access required. (Walk Up),Hawaii Foodbank,produce,"100 McChord St. Bldg. 1859 Pearl Harbor, HI 96853",21.3541,-157.9395,manual
Armed Services YMCA (Marine Corps Base Hawaii) Military access required.,Hawaii Foodbank,pantry,"455 Bingham Way Kailua, HI 96734",21.4473312,-157.7512880,provider
Armed Services YMCA (Schofield Barracks/Wheeler) Military access required.,Hawaii Foodbank,pantry,"1262 Santos Dumont Ave. Bldg. 122 Wahiawa, 96786",21.494,-158.062,manual
Armed Services YMCA @ Daniel K Akaka VA Clinic,Hawaii Foodbank,produce,"91-1051 Franklin D Roosevelt Ave. Kapolei, HI 96707",21.324994989451,-158.085946546182,provider
Armed Services YMCA MCBH @ MCBH Chapel Military access required. (Walk Up),Hawaii Foodbank,produce,"2702 Cushman Ave. Kailua, HI 96734",21.4455128,-157.7460106,provider
Armed Services YMCA Schofield/Wheeler @ Schofield Main Post Chapel Military access required. (Walk Up),Hawaii Foodbank,produce,"790 McCornack Rd. Schofield Barracks, HI 96857",21.497,-158.066,manual
Boys & Girls Club Ewa Beach (Drive Thru & Walk Up),Hawaii Foodbank,produce,"91-884 Fort Weaver Rd. Ewa Beach, HI 96706",21.316442944976,-158.012700037249,provider
Brethren of Christ International,Hawaii Foodbank,pantry,94-133 Pahu St. Waipahu HI 96797,21.381824036822,-158.007391424455,provider
Brethren of Christ International,Hawaii Foodbank,meals,94-133 Pahu St. Waipahu HI 96797,21.381824036822,-158.007391424455,provider
Calvary Assembly of God (Walk Up),Hawaii Foodbank,produce,"961 Io Ln. Honolulu, HI 96817",21.32673463806,-157.863746873011,provider
Calvary Chapel Pearl Harbor,Hawaii Foodbank,pantry,"94-1044 Waipio Uka St. Waipahu, HI 96797",21.411264999395,-157.998468080107,provider
Calvary Chapel Pearl Harbor @ Manana Community Park (Drive Thru & Walk Up),Hawaii Foodbank,produce,"1310 Waimano Home Rd. Pearl City, HI 96782",21.399628712446,-157.967819893094,provider
Cedar Assembly of God,Hawaii Foodbank,pantry,"620 Waipa Ln. Honolulu, HI 96817",21.321392131991,-157.862524399857,provider
Cedar Assembly of God,Hawaii Foodbank,meals,"620 Waipa Ln. Honolulu, HI 96817",21.321392131991,-157.862524399857,provider
Central Union Church (Drive Thru & Walk Up),Hawaii Foodbank,produce,"1660 S Beretania St. Honolulu, HI 96826",21.298028430891,-157.833299620522,provider
Central Union Church Windward,Hawaii Foodbank,pantry,"38 Kaneohe Bay Dr. Kailua, HI 96734",21.422874015875,-157.749235790292,provider
Church of Christ at Pearl Harbor,Hawaii Foodbank,pantry,"515 Main St. Honolulu, 96818",21.341879535549,-157.936099031401,provider
Church of God Prophecy @ Stevenson Rec Center,Hawaii Foodbank,pantry,"1202 Prospect St. Honolulu, HI 96813",21.3097657,-157.8409467,provider
Church of the Pacific,Hawaii Foodbank,pantry,"4520 Kapaka Rd., Princeville, HI 96722",22.2089875,-159.4643377,provider
City of Joy Assembly of God (Walk Up),Hawaii Foodbank,produce,"87-2070 Farrington Hwy. Waianae, HI 96792",21.386504139301,-158.150822037619,provider
City of Refuge Church,Hawaii Foodbank,pantry,"94-897 Waipahu St. Waipahu, HI 96797",21.386092608588,-158.006540090162,provider
Co-Cathedral of St Theresa Online registration only. (Drive Thru & Walk Up),Hawaii Foodbank,produce,"712 N School St. Honolulu, HI 96817",21.323701531475,-157.861118455285,provider
Co-Cathedral of St. Theresa,Hawaii Foodbank,pantry,"712 N School St. Honolulu, HI 96817",21.323701531475,-157.861118455285,provider
Community People Ministries @ Aiea High School (Drive Thru & Walk Up),Hawaii Foodbank,produce,"98-1276 Ulune St. Aiea, HI 96701",21.384629293644,-157.931438722708,provider
Community People Ministries @ Ewa Puuloa District Park (Drive Thru & Walk Up),Hawaii Foodbank,produce,"91-995 Kaimele Pl. Ewa Beach, HI 96706",21.3223486,-158.0196314,provider
Community People Ministries @ Pokai Bay Beach Park (Drive Thru & Walk Up),Hawaii Foodbank,produce,"960 Bayview St. #85 Waianae, HI 96792",21.44,-158.185,manual
Dynamic Compassion In Action @ Waimanalo District Park (Drive Thru & Walk Up),Hawaii Foodbank,produce,"41-415 Hihimanu St. Waimanalo, HI 96795",21.342352205932,-157.71850414875,provider
First Assembly of God Red Hill,Hawaii Foodbank,pantry,"3400 Moanalua Rd. Honolulu, HI 96819",21.364420063111,-157.902836228698,provider
First Assembly of God Red Hill,Hawaii Foodbank,meals,"3400 Moanalua Rd. Honolulu, HI 96819",21.364420063111,-157.902836228698,provider
First Assembly of God Red Hill (Walk Up),Hawaii Foodbank,produce,"3400 Moanalua Rd. Honolulu, HI 96819",21.364420063111,-157.902836228698,provider
First Assembly of God Wahiawa,Hawaii Foodbank,pantry,"300 Wilikina Dr. Wahiawa, HI 96786",21.490006062111,-158.033468992025,provider
First Assembly of God Wahiawa (Walk Up),Hawaii Foodbank,produce,"300 Wilikina Dr. Wahiawa, HI 96786",21.490006062111,-158.033468992025,provider
First Assembly of God Windward,Hawaii Foodbank,pantry,"47-323 Ahuimanu Rd. Kaneohe, HI 96744",21.448732065789,-157.833870019193,provider
First United Methodist Church,Hawaii Foodbank,pantry,"1020 S. Beretania St. Honolulu, HI 96814",21.303165171449,-157.847409986724,provider
First United Methodist Church,Hawaii Foodbank,meals,"1020 S. Beretania St. Honolulu, HI 96814",21.303165171449,-157.847409986724,provider
Full Gospel of Oahu,Hawaii Foodbank,pantry,"1680 Kapiolani Blvd. Honolulu, HI 96814",21.29118033322,-157.838033306115,provider
Giving Hope Hawaii By Appt Only.,Hawaii Foodbank,pantry,"46-158 Kahuhipa St. Kaneohe, HI 96744",21.416762200441,-157.804584579034,provider
Grace & Favor Church,Hawaii Foodbank,pantry,"702 Puuhale Rd. Honolulu, HI 96819",21.330617165946,-157.881769511965,provider
Grace & Favor Church (Walk Up),Hawaii Foodbank,produce,"702 Puuhale Rd. Honolulu, HI 96819",21.330617165946,-157.881769511965,provider
Grace Bible Church,Hawaii Foodbank,pantry,901 Hausten St. Honolulu HI 96826,21.291396950654,-157.824249182417,provider
Gregory House Programs (Walk Up),Hawaii Foodbank,produce,"1313 Pensacola St. Honolulu, HI 96814",21.30328882483,-157.844524301338,provider
