Date,Household,Persons,Per Household,Per Person,Cost
1988-10-01,30652,78125,209.5385,82.2115,6422774
1988-11-01,31781,78178,200.6443,81.5661,6376678
1988-12-01,30996,78845,206.8821,81.3307,6412518
1989-01-01,31935,80663,195.8553,77.5404,6254638
1989-02-01,31514,79099,193.7993,77.212,6107390
1989-03-01,30507,77324,205.0557,80.9016,6255633
1989-04-01,30417,76822,203.8822,80.7254,6201484
1989-05-01,30295,76055,202.4826,80.6549,6134210
1989-06-01,30657,76644,202.3404,80.9346,6203150
1989-07-01,31926,79510,186.0599,74.7094,5940147
1989-08-01,31934,79135,184.3003,74.3722,5885446
1989-09-01,30740,76938,193.9003,77.4714,5960495
1989-10-01,30879,76874,223.6275,89.8274,6905395
1989-11-01,30888,76646,221.942,89.4416,6855343
1989-12-01,31019,77290,222.9166,89.4637,6914651
1990-01-01,32464,79930,209.2724,84.9971,6793818
1990-02-01,30743,75883,218.7186,88.611,6724067
1990-03-01,31164,77080,220.6587,89.2139,6876608
1990-04-01,31185,76863,218.6015,88.6914,6817089
1990-05-01,30974,75891,217.6927,88.8487,6742815
1990-06-01,30910,76111,218.6803,88.8099,6759408
1990-07-01,32392,78894,203.721,83.643,6598932
1990-08-01,30883,75803,213.6866,87.0583,6599284
1990-09-01,31363,76216,212.0511,87.2594,6650560
1990-10-01,32934,79913,245.9615,101.3664,8100495
1990-11-01,33153,80565,247.6007,101.8892,8208705
1990-12-01,33229,81003,246.8164,101.2489,8201461
1991-01-01,33382,82139,246.0,99.9765,8211973
1991-02-01,34157,82711,242.0786,99.9707,8268679
1991-03-01,34193,82666,245.0341,101.3531,8378452
1991-04-01,34963,83395,243.7155,102.1767,8521024
1991-05-01,35146,85222,242.2985,99.9252,8515824
1991-06-01,34880,84577,244.7434,100.9335,8536651
1991-07-01,35464,85113,235.9816,98.3263,8368850
1991-08-01,36867,85127,230.9868,100.0363,8515790
1991-09-01,35866,84333,236.9021,100.7521,8496729
1991-10-01,35501,85804,263.8525,109.1677,9367029
1991-11-01,36450,88427,260.5804,107.4124,9498154
1991-12-01,36575,88730,262.005,107.9999,9582834
1992-01-01,37391,89457,253.5052,105.9594,9478814
1992-02-01,37909,90741,253.7476,106.0085,9619317
1992-03-01,38314,90859,253.7649,107.0092,9722747
1992-04-01,38828,92170,253.9969,107.0,9862191
1992-05-01,39169,92982,254.045,107.0174,9950690
1992-06-01,39195,93219,254.4988,107.0069,9975079
1992-07-01,39638,94390,250.476,105.1845,9928368
1992-08-01,39952,95484,250.8439,104.957,10021715
1992-09-01,51665,128912,264.4438,105.9831,13662488
1992-10-01,42898,102504,267.0563,111.7633,11456182
1992-11-01,42121,100137,251.9896,105.9953,10614053
1992-12-01,42050,99968,252.009,106.0037,10596980
1993-01-01,42156,99413,250.4776,106.2148,10559135
1993-02-01,42119,99326,250.4676,106.2103,10549444
1993-03-01,43585,102416,250.0577,106.4166,10898766
1993-04-01,43946,103153,250.0239,106.517,10987552
1993-05-01,44247,103490,249.4883,106.6684,11039108
1993-06-01,44572,104210,249.4621,106.6982,11119024
1993-07-01,45202,105810,248.3587,106.0988,11226310
1993-08-01,45873,107207,247.9978,106.1163,11376405
1993-09-01,46329,107797,246.5816,105.9759,11423881
1993-10-01,47375,110406,258.6604,110.9907,12254037
1993-11-01,47699,110737,258.2109,111.2221,12316402
1993-12-01,48254,111712,257.4575,111.2088,12423355
1994-01-01,48453,112036,256.7973,111.059,12442601
1994-02-01,48499,111310,255.0906,111.1458,12371641
1994-03-01,50101,115461,256.9615,111.5011,12874027
1994-04-01,50129,115508,255.0992,110.7098,12787869
1994-05-01,50572,116125,255.7288,111.3689,12932717
1994-06-01,50170,115087,260.0608,113.3686,13047249
1994-07-01,51279,117924,257.8487,112.125,13222225
1994-08-01,52044,119382,256.5602,111.8462,13352420
1994-09-01,52180,119218,251.9759,110.2862,13148101
1994-10-01,53224,121534,269.7814,118.1467,14358847
1994-11-01,52623,119808,269.9448,118.5672,14205304
1994-12-01,54179,123275,270.055,118.6884,14631310
1995-01-01,54201,122556,266.7891,117.9888,14460235
1995-02-01,54079,121776,266.2216,118.2253,14397000
1995-03-01,55741,125514,266.828,118.4988,14873262
1995-04-01,55699,125412,268.7411,119.3555,14968612
1995-05-01,56956,127671,259.6424,115.8305,14788190
1995-06-01,56820,127601,262.9898,117.1079,14943081
1995-07-01,56020,125701,266.6031,118.8146,14935108
1995-08-01,56410,126044,265.7223,118.9219,14989396
1995-09-01,57165,128005,265.9912,118.7874,15205386
1995-10-01,57858,129200,290.724,130.1912,16820708
1995-11-01,57910,129145,276.5744,124.0189,16016422
1995-12-01,58717,131155,276.9292,123.9789,16260454
1996-01-01,58705,130683,276.6713,124.2854,16241986
1996-02-01,58339,129739,273.3226,122.9034,15945365
1996-03-01,58704,130758,282.6467,126.8946,16592489
1996-04-01,58470,130196,282.7488,126.9802,16532320
1996-05-01,58519,130084,278.434,125.2551,16293681
1996-06-01,58402,129970,279.5581,125.6194,16326755
1996-07-01,58950,130884,275.3621,124.0228,16232597
1996-08-01,58635,130414,278.963,125.4236,16356996
1996-09-01,59259,131898,277.1004,124.4954,16420690
1996-10-01,59603,132207,276.1519,124.4978,16459484
1996-11-01,59280,131620,277.2022,124.8484,16432545
1996-12-01,59093,131074,274.4007,123.71,16215158
1997-01-01,58074,128593,271.7329,122.7176,15780618
1997-02-01,57893,128990,277.8204,124.6907,16083858
1997-03-01,57497,128052,277.7576,124.7168,15970231
1997-04-01,56396,127377,281.0265,124.4241,15848771
1997-05-01,55349,124742,278.4505,123.5507,15411958
1997-06-01,54530,123124,278.3744,123.2884,15179757
1997-07-01,54128,122053,278.8226,123.6521,15092112
1997-08-01,53947,122473,282.3276,124.3599,15230726
1997-09-01,54373,122501,278.5887,123.6537,15147703
1997-10-01,54503,122694,274.9444,122.1355,14985292
1997-11-01,53999,121895,276.5332,122.5031,14932514
1997-12-01,54264,121923,273.2672,121.6224,14828571
1998-01-01,54779,123774,270.7451,119.8244,14831145
1998-02-01,54260,122190,271.9989,120.7845,14758662
1998-03-01,54344,122124,272.3299,121.1842,14799498
1998-04-01,54418,122239,272.5858,121.349,14833575
1998-05-01,54024,121199,273.4578,121.8928,14773284
1998-06-01,53933,121129,275.2377,122.5503,14844396
1998-07-01,54031,121388,273.8196,121.8798,14794745
1998-08-01,53859,121420,279.0499,123.7799,15029350
1998-09-01,54558,122347,271.3633,121.0086,14805040
1998-10-01,55425,124873,273.3157,121.3114,15148524
1998-11-01,55729,125225,271.4138,120.7875,15125617
1998-12-01,56744,126249,267.308,120.1445,15168123
1999-01-01,56428,125452,267.3009,120.2313,15083254
1999-02-01,56402,124792,264.3249,119.4664,14908453
1999-03-01,57454,127332,266.2173,120.121,15295250
1999-04-01,57112,126457,266.2106,120.2292,15203818
1999-05-01,56656,125125,263.559,119.3383,14932199
1999-06-01,56323,124161,261.9616,118.8333,14754462
1999-07-01,56558,125248,264.0651,119.2434,14934994
1999-08-01,56043,124407,264.2511,119.0401,14809427
1999-09-01,55511,122543,261.5809,118.494,14520615
1999-10-01,55554,122743,265.5273,120.1788,14751101
1999-11-01,55521,122248,263.3579,119.6085,14621896
1999-12-01,55028,120461,261.5959,119.5001,14395097
2000-01-01,54886,120321,260.1745,118.682,14279938
2000-02-01,54323,118041,255.7588,117.7013,13893585
2000-03-01,55037,119830,258.6789,118.8092,14236910
2000-04-01,54166,117614,258.2028,118.9128,13985812
2000-05-01,54074,116746,254.2905,117.7814,13750503
2000-06-01,53406,115745,256.0204,118.1306,13673024
2000-07-01,53157,115219,229.4124,105.8408,12194875
2000-08-01,52654,113370,249.9576,116.0912,13161265
2000-09-01,52733,114157,252.515,116.6453,13315876
2000-10-01,52472,112952,251.7284,116.9407,13208690
2000-11-01,51618,110808,249.7019,116.3194,12889115
2000-12-01,51842,111411,249.6952,116.1887,12944699
2001-01-01,51512,110183,245.042,114.5603,12622602
2001-02-01,50421,107219,242.6321,114.1006,12233755
2001-03-01,51089,108235,243.5976,114.9827,12445157
2001-04-01,50613,107290,244.0083,115.1085,12349991
2001-05-01,50457,106447,241.3049,114.381,12175519
2001-06-01,50392,106427,243.5951,115.3395,12275242
2001-07-01,50515,106594,242.852,115.0878,12267667
2001-08-01,50514,106274,239.7514,113.9583,12110804
2001-09-01,50354,105911,242.9978,115.5301,12235911
2001-10-01,50561,105705,247.1883,118.2355,12498087
2001-11-01,51342,107619,249.8542,119.1984,12828012
2001-12-01,51321,107834,251.4887,119.69,12906650
2002-01-01,51343,107619,246.2526,117.4825,12643348
2002-02-01,51464,108005,249.2446,118.7642,12827124
2002-03-01,51544,107689,249.2514,119.3011,12847413
2002-04-01,51415,107120,248.7179,119.3785,12787829
2002-05-01,50902,105767,247.8442,119.2789,12615767
2002-06-01,49137,101968,255.5574,123.1497,12557326
2002-07-01,48504,99934,252.8081,122.703,12262202
2002-08-01,48896,101374,255.7924,123.3771,12507226
2002-09-01,48869,101131,255.5359,123.4813,12487785
2002-10-01,48827,100522,267.4924,129.9303,13060853
2002-11-01,49427,102396,270.1846,130.4193,13354412
2002-12-01,49449,102190,268.0748,129.7194,13256029
2003-01-01,48636,99855,263.3264,128.2574,12807141
2003-02-01,48726,100262,265.3086,128.9364,12927425
2003-03-01,48310,98539,264.0009,129.4298,12753882
2003-04-01,48765,100392,266.8087,129.6012,13010928
2003-05-01,48791,100245,267.7768,130.3317,13065100
2003-06-01,48579,99993,267.3559,129.8879,12987884
2003-07-01,48425,99353,265.3792,129.3468,12850988
2003-08-01,48611,100467,267.9469,129.6462,13025169
2003-09-01,48650,100364,269.0985,130.4416,13091640
2003-10-01,48637,100121,264.2437,128.3649,12852023
2003-11-01,48891,100871,263.7704,127.8465,12896001
2003-12-01,48714,99414,260.1578,127.4803,12673327
2004-01-01,48724,99943,259.5624,126.5413,12646917
2004-02-01,48624,99129,259.3345,127.2068,12609879
2004-03-01,48481,97896,257.8149,127.6776,12499125
2004-04-01,48704,98510,259.0513,128.0767,12616836
2004-05-01,48282,97288,258.4897,128.283,12480400
2004-06-01,48088,96152,256.985,128.5246,12357894
2004-07-01,48676,98146,259.418,128.6596,12627429
2004-08-01,48784,98263,259.7318,128.9474,12670755
2004-09-01,48594,97332,265.0294,132.3187,12878840
2004-10-01,48067,96375,278.2421,138.7732,13374265
2004-11-01,45483,88485,296.9582,152.6423,13506550
2004-12-01,48591,96591,275.9517,138.8201,13408769
2005-01-01,48248,96581,273.845,136.802,13212475
2005-02-01,47283,93329,269.9344,136.7561,12763310
2005-03-01,47999,95181,274.9192,138.6395,13195845
2005-04-01,47781,94636,274.635,138.6611,13122333
2005-05-01,47311,93391,271.4499,137.514,12842566
2005-06-01,46869,92079,269.7651,137.3128,12643621
2005-07-01,47023,92944,271.1424,137.1786,12749927
2005-08-01,46623,91943,269.9901,136.9082,12587748
2005-09-01,46426,91038,269.0451,137.203,12490687
2005-10-01,46539,91607,281.9823,143.2551,13123174
2005-11-01,45800,89608,277.9319,142.0552,12729279
2005-12-01,46322,91298,280.8482,142.4943,13009449
2006-01-01,45104,88832,273.3595,138.7969,12329609
2006-02-01,44132,85514,269.2925,138.9762,11884415
2006-03-01,44716,87401,274.2472,140.31,12263236
2006-04-01,44326,86458,272.6746,139.797,12086573
2006-05-01,43723,84709,270.311,139.5224,11818806
2006-06-01,44057,86251,272.7987,139.3455,12018691
2006-07-01,43948,85960,272.2462,139.1889,11964677
2006-08-01,44739,88303,273.8014,138.7224,12249601
2006-09-01,45185,89368,273.7107,138.3898,12367618
2006-10-01,45249,89638,293.7295,148.2738,13290967
2006-11-01,45140,89482,292.4826,147.5455,13202664
2006-12-01,45315,89744,292.2839,147.5847,13244844
2007-01-01,45211,89397,287.4027,145.349,12993765
2007-02-01,44886,88583,286.5523,145.1993,12862188
2007-03-01,45179,88763,286.4248,145.7858,12940388
2007-04-01,44821,88171,286.123,145.4483,12824318
2007-05-01,45219,89119,286.9776,145.6125,12976842
2007-06-01,45437,89646,286.905,145.4176,13036102
2007-07-01,45682,90192,283.2498,143.4653,12939419
2007-08-01,46070,91129,283.8678,143.5085,13077789
2007-09-01,46353,91682,283.7517,143.4605,13152741
2007-10-01,46754,92486,314.9311,159.2056,14724288
2007-11-01,47030,93190,315.1189,159.0304,14820041
2007-12-01,47344,93916,314.5967,158.5913,14894265
2008-01-01,47675,94338,311.1735,157.2558,14835195
2008-02-01,47885,94775,312.3039,157.7913,14954673
2008-03-01,48179,95017,311.711,158.0551,15017926
2008-04-01,48777,96038,313.8491,159.4017,15308617
2008-05-01,49197,96862,314.2434,159.6068,15459835
2008-06-01,49599,97845,315.6987,160.0321,15658339
2008-07-01,50414,99635,317.6686,160.7362,16014947
2008-08-01,51265,101656,318.8663,160.8039,16346683
2008-09-01,51774,102855,320.1926,161.175,16577652
2008-10-01,52889,105100,358.3299,180.3208,18951712
2008-11-01,53656,100114,359.5374,192.6937,19291339
2008-12-01,54669,108972,360.1617,180.6857,19689682
2009-01-01,54987,109708,352.9459,176.9008,19407436
2009-02-01,55582,110915,355.149,177.9731,19739891
2009-03-01,56430,112521,356.8772,178.9762,20138579
2009-04-01,57831,115005,425.9918,214.2127,24635529
2009-05-01,59168,117648,427.6746,215.0878,25304651
2009-06-01,60440,120193,428.6269,215.5384,25906207
2009-07-01,61623,122704,427.1848,214.5359,26324408
2009-08-01,62852,125057,426.7658,214.4869,26823086
2009-09-01,64155,127250,428.1972,215.882,27470989
2009-10-01,65114,129536,427.1713,214.7266,27814831
2009-11-01,66017,131361,429.4632,215.8317,28351873
2009-12-01,67278,134021,430.3662,216.0421,28954176
2010-01-01,67650,134685,426.5319,214.2397,28854880
2010-02-01,68093,135511,429.29,215.7142,29231645
2010-03-01,68812,136594,429.4297,216.3339,29549918
2010-04-01,69617,138384,429.5766,216.1076,29905836
2010-05-01,70394,139816,428.8707,215.9261,30189927
2010-06-01,71077,141293,429.5877,216.1027,30533803
2010-07-01,72363,144006,431.0295,216.5923,31190590
2010-08-01,72953,145534,432.4418,216.7736,31547923
2010-09-01,73450,147250,435.9353,217.4496,32019451
2010-10-01,75134,150480,433.6909,216.54,32584933
2010-11-01,76182,153018,433.7686,215.9574,33045362
2010-12-01,77721,156355,434.974,216.217,33806611
2011-01-01,78091,157163,430.668,213.9899,33631292
2011-02-01,78748,158152,429.9045,214.0606,33854118
2011-03-01,79528,159404,431.0181,215.0386,34278007
2011-04-01,79768,159704,429.5691,214.5586,34265867
2011-05-01,80185,160462,430.075,214.9142,34485560
2011-06-01,81174,162426,430.8924,215.3427,34977258
2011-07-01,82041,164325,430.7991,215.081,35343190
2011-08-01,82998,166093,432.5941,216.1707,35904448
2011-09-01,83922,168151,434.0638,216.6356,36427501
2011-10-01,84635,169405,434.3719,217.0129,36763066
2011-11-01,85563,171436,432.8011,216.0092,37031757
2011-12-01,83949,173143,444.5183,215.5263,37316870
2012-01-01,85905,173786,429.5695,212.3426,36902168
2012-02-01,87863,175291,424.0743,212.5634,37260443
2012-03-01,88699,176729,423.8805,212.7425,37597778
2012-04-01,88587,176160,423.0295,212.7322,37474912
2012-05-01,89619,177887,423.3645,213.2899,37941501
2012-06-01,90534,179700,422.7974,213.008,38277543
2012-07-01,91056,180733,423.4023,213.3164,38553321
2012-08-01,92114,182867,422.9445,213.0462,38959113
2012-09-01,92932,184734,422.3809,212.4823,39252702
2012-10-01,93919,186330,433.2826,218.3946,40693469
2012-11-01,94250,187034,432.6169,218.0039,40774144
2012-12-01,94852,187917,431.1708,217.6355,40897410
2013-01-01,95305,188763,428.6918,216.4432,40856473
2013-02-01,95646,188564,427.219,216.6998,40861788
2013-03-01,96073,188933,427.5158,217.3931,41072728
2013-04-01,96407,189366,426.4902,217.1279,41116641
2013-05-01,96558,189647,427.0831,217.4476,41238290
2013-06-01,96677,189855,428.4723,218.1845,41423413
2013-07-01,97420,191509,427.6977,217.5684,41666308
2013-08-01,97629,192117,428.8201,217.9155,41865273
2013-09-01,97522,192162,427.7608,217.0881,41716090
2013-10-01,99081,194961,445.8961,226.6086,44179832
2013-11-01,98426,193936,445.3293,226.0126,43831978
2013-12-01,98807,194550,442.8485,224.9115,43756536
2014-01-01,98573,193897,440.6423,224.0129,43435431
2014-02-01,98204,193255,441.5425,224.3732,43361235
2014-03-01,98745,193930,441.1198,224.6088,43558379
2014-04-01,98688,193600,440.4714,224.5312,43469237
2014-05-01,98860,193933,441.3429,224.9806,43631158
2014-06-01,99320,194865,439.4339,223.9734,43644579
2014-07-01,99629,195703,440.2699,224.1338,43863653
2014-08-01,97629,192117,458.7186,233.1092,44784240
2014-09-01,99997,196420,438.8302,223.4075,43881702
2014-10-01,98153,196639,452.4759,225.8548,44411863
2014-11-01,99625,195626,442.8516,225.5278,44119094
2014-12-01,99542,194932,440.4054,224.8929,43838832
2015-01-01,98385,192916,438.2448,223.4999,43116715
2015-02-01,97854,191527,438.4595,224.0155,42905017
2015-03-01,95031,188085,439.7656,222.1941,41791369
2015-04-01,93637,185668,439.5551,221.6786,41158622
2015-05-01,93308,185006,440.1831,222.0069,41072608
2015-06-01,93518,185301,438.7828,221.4456,41034086
2015-07-01,92958,184465,439.5382,221.4978,40858595
2015-08-01,92501,183649,439.3754,221.3062,40642660
2015-09-01,92025,182927,440.2811,221.492,40516868
2015-10-01,91546,182226,458.2067,230.1921,41946987
2015-11-01,91546,181275,453.5133,229.0295,41517327
2015-12-01,90615,180165,455.7187,229.2063,41294951
2016-01-01,89582,178137,453.7947,228.2055,40651839
2016-02-01,89281,177301,452.4158,227.8167,40392137
2016-03-01,88840,176105,452.5329,228.2901,40203024
2016-04-01,88306,174882,451.5998,228.0336,39878970
2016-05-01,88241,174552,451.0309,228.009,39799419
2016-06-01,88069,174275,450.3446,227.5794,39661395
2016-07-01,87680,173739,452.3218,228.271,39659572
2016-08-01,87891,174423,451.6621,227.5906,39697034
2016-09-01,87542,173669,451.4673,227.5729,39522353
